utc_timestamp,cet_cest_timestamp,DE_load_actual_entsoe_transparency,DE_load_forecast_entsoe_transparency,DE_solar_capacity,DE_solar_generation_actual,DE_wind_capacity,DE_wind_generation_actual
2014-12-31T23:00:00Z,2015-01-01T00:00:00+0100,,,37248,,27913,
2015-01-01T00:00:00Z,2015-01-01T01:00:00+0100,41151,39723,37248,,27913,8852
2015-01-01T01:00:00Z,2015-01-01T02:00:00+0100,40135,38813,37248,,27913,9054
2015-01-01T02:00:00Z,2015-01-01T03:00:00+0100,39106,38490,37248,,27913,9070
2015-01-01T03:00:00Z,2015-01-01T04:00:00+0100,38765,38644,37248,,27913,9163
2015-01-01T04:00:00Z,2015-01-01T05:00:00+0100,38941,38773,37248,,27913,9231
2015-01-01T05:00:00Z,2015-01-01T06:00:00+0100,39045,37247,37248,,27913,9689
2015-01-01T06:00:00Z,2015-01-01T07:00:00+0100,40206,40371,37248,,27913,10331
2015-01-01T07:00:00Z,2015-01-01T08:00:00+0100,41133,42522,37248,71,27913,10208
2015-01-01T08:00:00Z,2015-01-01T09:00:00+0100,42963,45020,37248,773,27913,10029
2015-01-01T09:00:00Z,2015-01-01T10:00:00+0100,45088,47101,37248,2117,27913,10550
2015-01-01T10:00:00Z,2015-01-01T11:00:00+0100,47013,49603,37248,3364,27913,11390
2015-01-01T11:00:00Z,2015-01-01T12:00:00+0100,48159,49910,37248,4198,27913,12103
2015-01-01T12:00:00Z,2015-01-01T13:00:00+0100,47164,47528,37248,3500,27913,12505
2015-01-01T13:00:00Z,2015-01-01T14:00:00+0100,46752,47097,37248,2279,27913,11921
2015-01-01T14:00:00Z,2015-01-01T15:00:00+0100,47403,47383,37248,746,27913,11851
2015-01-01T15:00:00Z,2015-01-01T16:00:00+0100,49440,48936,37248,50,27913,13582
2015-01-01T16:00:00Z,2015-01-01T17:00:00+0100,53410,52288,37248,0,27913,15436
2015-01-01T17:00:00Z,2015-01-01T18:00:00+0100,53672,53367,37248,0,27913,16868
2015-01-01T18:00:00Z,2015-01-01T19:00:00+0100,53012,52599,37248,0,27913,18008
2015-01-01T19:00:00Z,2015-01-01T20:00:00+0100,50313,50020,37248,0,27913,19181
2015-01-01T20:00:00Z,2015-01-01T21:00:00+0100,48730,48096,37248,0,27913,20353
2015-01-01T21:00:00Z,2015-01-01T22:00:00+0100,48624,47803,37248,0,27913,21235
2015-01-01T22:00:00Z,2015-01-01T23:00:00+0100,45668,44876,37248,0,27913,22083
2015-01-01T23:00:00Z,2015-01-02T00:00:00+0100,42424,40078,37250,0,27926,22472
2015-01-02T00:00:00Z,2015-01-02T01:00:00+0100,40577,38711,37250,0,27926,23434
2015-01-02T01:00:00Z,2015-01-02T02:00:00+0100,39707,37820,37250,0,27926,24248
2015-01-02T02:00:00Z,2015-01-02T03:00:00+0100,39504,37828,37250,0,27926,25034
2015-01-02T03:00:00Z,2015-01-02T04:00:00+0100,40391,38925,37250,0,27926,25721
2015-01-02T04:00:00Z,2015-01-02T05:00:00+0100,42382,40503,37250,0,27926,26172
2015-01-02T05:00:00Z,2015-01-02T06:00:00+0100,45679,43400,37250,0,27926,26355
2015-01-02T06:00:00Z,2015-01-02T07:00:00+0100,50418,49040,37250,0,27926,26193
2015-01-02T07:00:00Z,2015-01-02T08:00:00+0100,54131,51540,37250,38,27926,26590
2015-01-02T08:00:00Z,2015-01-02T09:00:00+0100,56505,53133,37250,252,27926,25934
2015-01-02T09:00:00Z,2015-01-02T10:00:00+0100,58447,54446,37250,667,27926,25641
2015-01-02T10:00:00Z,2015-01-02T11:00:00+0100,59453,55685,37250,1262,27926,25810
2015-01-02T11:00:00Z,2015-01-02T12:00:00+0100,59201,55627,37250,1726,27926,25642
2015-01-02T12:00:00Z,2015-01-02T13:00:00+0100,58564,53698,37250,1899,27926,25795
2015-01-02T13:00:00Z,2015-01-02T14:00:00+0100,57721,53315,37250,1352,27926,25297
2015-01-02T14:00:00Z,2015-01-02T15:00:00+0100,57276,53275,37250,516,27926,24982
2015-01-02T15:00:00Z,2015-01-02T16:00:00+0100,58813,54491,37250,45,27926,24719
2015-01-02T16:00:00Z,2015-01-02T17:00:00+0100,61605,57233,37250,0,27926,24301
2015-01-02T17:00:00Z,2015-01-02T18:00:00+0100,61645,57268,37250,0,27926,25010
2015-01-02T18:00:00Z,2015-01-02T19:00:00+0100,59283,55584,37250,0,27926,24783
2015-01-02T19:00:00Z,2015-01-02T20:00:00+0100,55622,51784,37250,0,27926,24279
2015-01-02T20:00:00Z,2015-01-02T21:00:00+0100,53186,47798,37250,0,27926,24366
2015-01-02T21:00:00Z,2015-01-02T22:00:00+0100,50691,45972,37250,0,27926,24546
2015-01-02T22:00:00Z,2015-01-02T23:00:00+0100,45323,44474,37250,0,27926,24626
2015-01-02T23:00:00Z,2015-01-03T00:00:00+0100,40464,42341,37250,0,27926,24076
2015-01-03T00:00:00Z,2015-01-03T01:00:00+0100,38338,40963,37250,0,27926,23277
2015-01-03T01:00:00Z,2015-01-03T02:00:00+0100,36897,39777,37250,0,27926,22117
2015-01-03T02:00:00Z,2015-01-03T03:00:00+0100,36104,39825,37250,0,27926,20918
2015-01-03T03:00:00Z,2015-01-03T04:00:00+0100,36453,40221,37250,0,27926,20291
2015-01-03T04:00:00Z,2015-01-03T05:00:00+0100,36839,40013,37250,0,27926,20508
2015-01-03T05:00:00Z,2015-01-03T06:00:00+0100,38073,40213,37250,0,27926,21327
2015-01-03T06:00:00Z,2015-01-03T07:00:00+0100,40819,42881,37250,0,27926,21946
2015-01-03T07:00:00Z,2015-01-03T08:00:00+0100,44119,46556,37250,74,27926,22980
2015-01-03T08:00:00Z,2015-01-03T09:00:00+0100,47421,49658,37250,608,27926,23419
2015-01-03T09:00:00Z,2015-01-03T10:00:00+0100,49756,51738,37250,1279,27926,23097
2015-01-03T10:00:00Z,2015-01-03T11:00:00+0100,51917,52963,37250,1700,27926,23230
2015-01-03T11:00:00Z,2015-01-03T12:00:00+0100,52205,52563,37250,1618,27926,22829
2015-01-03T12:00:00Z,2015-01-03T13:00:00+0100,52147,51454,37250,1155,27926,21174
2015-01-03T13:00:00Z,2015-01-03T14:00:00+0100,50677,50239,37250,587,27926,19464
2015-01-03T14:00:00Z,2015-01-03T15:00:00+0100,50478,49500,37250,195,27926,17468
2015-01-03T15:00:00Z,2015-01-03T16:00:00+0100,52820,50742,37250,21,27926,16038
