time,temperature_2m,wind_speed_10m,shortwave_radiation
2015-01-01 00:00:00,4.0,14.2,0.0
2015-01-01 01:00:00,3.8,14.4,0.0
2015-01-01 02:00:00,3.6,14.9,0.0
2015-01-01 03:00:00,3.3,14.6,0.0
2015-01-01 04:00:00,3.0,14.1,0.0
2015-01-01 05:00:00,2.3,13.0,0.0
2015-01-01 06:00:00,1.6,12.3,0.0
2015-01-01 07:00:00,0.9,14.8,0.0
2015-01-01 08:00:00,1.7,14.1,0.0
2015-01-01 09:00:00,1.8,13.3,5.0
2015-01-01 10:00:00,2.2,15.4,48.0
2015-01-01 11:00:00,3.0,14.8,136.0
2015-01-01 12:00:00,3.8,14.1,199.0
2015-01-01 13:00:00,4.2,13.8,202.0
2015-01-01 14:00:00,4.4,15.9,169.0
2015-01-01 15:00:00,4.0,15.3,103.0
2015-01-01 16:00:00,2.9,16.0,25.0
2015-01-01 17:00:00,2.0,15.0,0.0
2015-01-01 18:00:00,1.9,14.7,0.0
2015-01-01 19:00:00,2.2,15.0,0.0
2015-01-01 20:00:00,2.0,17.1,0.0
2015-01-01 21:00:00,1.9,19.1,0.0
2015-01-01 22:00:00,1.8,19.3,0.0
2015-01-01 23:00:00,1.8,19.6,0.0
2015-01-02 00:00:00,1.7,20.4,0.0
2015-01-02 01:00:00,1.6,21.9,0.0
2015-01-02 02:00:00,2.0,23.2,0.0
2015-01-02 03:00:00,2.7,23.7,0.0
2015-01-02 04:00:00,3.2,25.0,0.0
2015-01-02 05:00:00,3.6,24.4,0.0
2015-01-02 06:00:00,4.0,25.6,0.0
2015-01-02 07:00:00,3.5,26.3,0.0
2015-01-02 08:00:00,4.3,27.1,0.0
2015-01-02 09:00:00,4.8,27.6,1.0
2015-01-02 10:00:00,5.2,28.2,6.0
2015-01-02 11:00:00,6.0,28.6,16.0
2015-01-02 12:00:00,6.6,28.8,20.0
2015-01-02 13:00:00,7.0,30.5,17.0
2015-01-02 14:00:00,7.5,30.2,35.0
2015-01-02 15:00:00,7.3,28.4,49.0
2015-01-02 16:00:00,6.5,26.7,22.0
2015-01-02 17:00:00,5.9,26.6,0.0
2015-01-02 18:00:00,5.6,26.7,0.0
2015-01-02 19:00:00,5.5,27.2,0.0
2015-01-02 20:00:00,5.0,28.3,0.0
2015-01-02 21:00:00,4.8,28.6,0.0
2015-01-02 22:00:00,4.7,28.2,0.0
2015-01-02 23:00:00,4.6,25.7,0.0
2015-01-03 00:00:00,4.4,26.3,0.0
